categorie,detail,annee,nombre_etudiants
pays,france,2021,13670
pays,inde,2021,10085
pays,iran,2021,2710
pays,maroc,2021,2995
pays,total_(personnes_uniques),2021,62785
pays,tunisie,2021,1615
region,abitibi-témiscamingue,2021,365
region,bas-saint-laurent,2021,840
region,capitale-nationale,2021,4785
region,centre-du-québec,2021,485
region,chaudière-appalaches,2021,580
region,côte-nord,2021,80
region,estrie,2021,2545
region,gaspésie--îles-de-la-madeleine,2021,110
region,lanaudière,2021,130
region,laurentides,2021,175
region,laval,2021,710
region,mauricie,2021,2650
region,montréal,2021,43795
region,montérégie,2021,1940
region,non_précisé,2021,985
region,nord-du-québec,2021,20
region,outaouais,2021,775
region,saguenay--lac-saint-jean,2021,2095
type_permis,avec_permis_de_travail,2021,16920
type_permis,permis_initial,2021,38970
type_permis,permis_multiples,2021,16945
type_permis,permis_subsequent,2021,25070
type_permis,permis_unique,2021,45920
type_permis,sans_permis_de_travail,2021,25
age,0_à_14_ans,2022,4775
age,15_à_19_ans,2022,11345
age,20_à_24_ans,2022,24550
age,25_à_29_ans,2022,12100
age,30_à_44_ans,2022,8825
age,45_et_plus,2022,950
langue,anglais,2022,20695
langue,aucune_(ni_français_ni_anglais),2022,1015
langue,bilingue_(français_et_anglais),2022,27455
langue,français,2022,12445
langue,non_précisée,2022,1150
niveau_etude,autres_études,2022,1015
niveau_etude,autres_études_universitaires,2022,2025
niveau_etude,baccalauréat,2022,15150
niveau_etude,cégep_et_collège,2022,15095
niveau_etude,doctorat,2022,4875
niveau_etude,maîtrise,2022,13000
niveau_etude,non_précisé,2022,5
niveau_etude,primaire,2022,3355
niveau_etude,secondaire_et_école_de_métier,2022,8335
pays,algérie,2022,4315
pays,autres_pays,2022,22050
pays,brésil,2022,1745
pays,cameroun,2022,1860
pays,chine,2022,3505
pays,colombie,2022,2305
pays,france,2022,10700
pays,inde,2022,8075
pays,iran,2022,2545
pays,maroc,2022,3165
pays,total_(personnes_uniques),2022,62400
pays,tunisie,2022,2135
region,abitibi-témiscamingue,2022,450
region,bas-saint-laurent,2022,1045
region,capitale-nationale,2022,5670
region,centre-du-québec,2022,395
region,chaudière-appalaches,2022,685
region,côte-nord,2022,125
region,estrie,2022,2130
region,gaspésie--îles-de-la-madeleine,2022,170
region,lanaudière,2022,160
region,laurentides,2022,235
region,laval,2022,880
region,mauricie,2022,2470
region,montréal,2022,41295
region,montérégie,2022,1885
region,non_précisé,2022,1500
region,nord-du-québec,2022,55
region,outaouais,2022,1155
region,saguenay--lac-saint-jean,2022,2420
type_permis,avec_permis_de_travail,2022,18890
type_permis,permis_initial,2022,37530
type_permis,permis_multiples,2022,18905
type_permis,permis_subsequent,2022,25945
type_permis,permis_unique,2022,43460
type_permis,sans_permis_de_travail,2022,15
