categorie,description,detail,annee,nombre_csq
pays,pays_de_naissance,mali,2016,188
pays,pays_de_naissance,malte,2016,0
pays,pays_de_naissance,maroc,2016,2646
pays,pays_de_naissance,martinique,2016,23
pays,pays_de_naissance,maurice,2016,319
pays,pays_de_naissance,mauritanie,2016,62
pays,pays_de_naissance,mayotte,2016,0
pays,pays_de_naissance,mexique,2016,664
pays,pays_de_naissance,micronésie,2016,0
pays,pays_de_naissance,moldova,2016,466
pays,pays_de_naissance,monaco,2016,6
pays,pays_de_naissance,mongolie,2016,6
pays,pays_de_naissance,monténégro,2016,0
pays,pays_de_naissance,mozambique,2016,6
pays,pays_de_naissance,myanmar,2016,16
pays,pays_de_naissance,namibie,2016,0
pays,pays_de_naissance,nicaragua,2016,25
pays,pays_de_naissance,niger,2016,87
pays,pays_de_naissance,nigéria,2016,241
pays,pays_de_naissance,norvège,2016,0
pays,pays_de_naissance,nouvelle-calédonie,2016,7
pays,pays_de_naissance,nouvelle-zélande,2016,16
pays,pays_de_naissance,népal,2016,893
pays,pays_de_naissance,oman,2016,6
pays,pays_de_naissance,ouganda,2016,11
pays,pays_de_naissance,ouzbékistan,2016,40
pays,pays_de_naissance,pakistan,2016,919
pays,pays_de_naissance,palestine,2016,42
pays,pays_de_naissance,panama,2016,11
pays,pays_de_naissance,papouasie-nouvelle-guinée,2016,0
pays,pays_de_naissance,paraguay,2016,0
pays,pays_de_naissance,pays-bas,2016,27
pays,pays_de_naissance,philippines,2016,3832
pays,pays_de_naissance,pologne,2016,76
pays,pays_de_naissance,polynésie_française,2016,7
pays,pays_de_naissance,porto_rico,2016,0
pays,pays_de_naissance,portugal,2016,76
pays,pays_de_naissance,pérou,2016,224
pays,pays_de_naissance,qatar,2016,11
pays,pays_de_naissance,roumanie,2016,493
pays,pays_de_naissance,royaume-uni,2016,244
pays,pays_de_naissance,russie,2016,393
pays,pays_de_naissance,rwanda,2016,274
pays,pays_de_naissance,rép._centrafricaine,2016,200
pays,pays_de_naissance,rép._dominicaine,2016,237
pays,pays_de_naissance,rép._du_soudan_du_sud,2016,0
pays,pays_de_naissance,rép._dém._du_congo,2016,1018
pays,pays_de_naissance,rép._tchèque,2016,12
pays,pays_de_naissance,réunion,2016,54
pays,pays_de_naissance,sahara_occidental,2016,0
pays,pays_de_naissance,saint-kitts-et-nevis,2016,0
pays,pays_de_naissance,saint-marin,2016,0
pays,pays_de_naissance,saint-martin,2016,0
pays,pays_de_naissance,saint-pierre-et-miquelon,2016,0
pays,pays_de_naissance,saint-vincent-et-les_grenadines,2016,93
pays,pays_de_naissance,sainte-lucie,2016,19
pays,pays_de_naissance,samoa,2016,0
pays,pays_de_naissance,sao_tomé-et-principe,2016,0
pays,pays_de_naissance,serbie,2016,23
pays,pays_de_naissance,serbie-et-monténégro,2016,6
pays,pays_de_naissance,seychelles,2016,5
pays,pays_de_naissance,sierra_leone,2016,7
pays,pays_de_naissance,singapour,2016,24
pays,pays_de_naissance,slovaquie,2016,12
pays,pays_de_naissance,slovénie,2016,11
pays,pays_de_naissance,somalie,2016,12
pays,pays_de_naissance,soudan,2016,33
pays,pays_de_naissance,sri_lanka,2016,350
pays,pays_de_naissance,suisse,2016,76
pays,pays_de_naissance,suriname,2016,0
pays,pays_de_naissance,suède,2016,17
pays,pays_de_naissance,swaziland,2016,0
pays,pays_de_naissance,syrie,2016,6124
pays,pays_de_naissance,sénégal,2016,552
pays,pays_de_naissance,tadjikistan,2016,38
pays,pays_de_naissance,tanzanie,2016,57
pays,pays_de_naissance,taïwan,2016,123
pays,pays_de_naissance,tchad,2016,136
pays,pays_de_naissance,tchécoslovaquie,2016,0
pays,pays_de_naissance,thaïlande,2016,60
pays,pays_de_naissance,tibet,2016,7
pays,pays_de_naissance,timor-leste,2016,0
pays,pays_de_naissance,togo,2016,351
pays,pays_de_naissance,tonga,2016,0
pays,pays_de_naissance,trinité-et-tobago,2016,23
pays,pays_de_naissance,tunisie,2016,1827
pays,pays_de_naissance,turkménistan,2016,5
pays,pays_de_naissance,turquie,2016,223
pays,pays_de_naissance,ukraine,2016,598
pays,pays_de_naissance,union_soviétique,2016,59
pays,pays_de_naissance,uruguay,2016,5
pays,pays_de_naissance,vanuatu,2016,0
pays,pays_de_naissance,venezuela,2016,504
pays,pays_de_naissance,vietnam,2016,550
pays,pays_de_naissance,wallis-et-futuna,2016,0
pays,pays_de_naissance,yougoslavie,2016,5
pays,pays_de_naissance,yémen,2016,37
