categorie,detail,annee,nombre
Région de destination,Lanaudière,2018,65
Région de destination,Lanaudière,2019,60
Région de destination,Lanaudière,2020,65
Région de destination,Lanaudière,2021,130
Région de destination,Lanaudière,2022,160
Région de destination,Laurentides,2018,95
Région de destination,Laurentides,2019,150
Région de destination,Laurentides,2020,120
Région de destination,Laurentides,2021,175
Région de destination,Laurentides,2022,235
Région de destination,Laval,2018,425
Région de destination,Laval,2019,625
Région de destination,Laval,2020,460
Région de destination,Laval,2021,710
Région de destination,Laval,2022,880
Région de destination,Mauricie,2018,1355
Région de destination,Mauricie,2019,2215
Région de destination,Mauricie,2020,1435
Région de destination,Mauricie,2021,2650
Région de destination,Mauricie,2022,2470
Région de destination,Montérégie,2018,1165
Région de destination,Montérégie,2019,1610
Région de destination,Montérégie,2020,1285
Région de destination,Montérégie,2021,1940
Région de destination,Montérégie,2022,1885
Région de destination,Montréal,2018,31870
Région de destination,Montréal,2019,40505
Région de destination,Montréal,2020,31555
Région de destination,Montréal,2021,43795
Région de destination,Montréal,2022,41295
Région de destination,Nord-du-Québec,2018,20
Région de destination,Nord-du-Québec,2019,10
Région de destination,Nord-du-Québec,2020,15
Région de destination,Nord-du-Québec,2021,20
Région de destination,Nord-du-Québec,2022,55
Région de destination,Outaouais,2018,460
Région de destination,Outaouais,2019,1355
Région de destination,Outaouais,2020,515
Région de destination,Outaouais,2021,775
Région de destination,Outaouais,2022,1155
Région de destination,Saguenay--Lac-Saint-Jean,2018,1455
Région de destination,Saguenay--Lac-Saint-Jean,2019,1960
Région de destination,Saguenay--Lac-Saint-Jean,2020,875
Région de destination,Saguenay--Lac-Saint-Jean,2021,2095
Région de destination,Saguenay--Lac-Saint-Jean,2022,2420
Région de destination,Non précisé,2018,435
Région de destination,Non précisé,2019,830
Région de destination,Non précisé,2020,760
Région de destination,Non précisé,2021,985
Région de destination,Non précisé,2022,1500
Langue connue,Français,2018,6095
Langue connue,Français,2019,7695
Langue connue,Français,2020,5970
Langue connue,Français,2021,10270
Langue connue,Français,2022,12445
Langue connue,Bilingue (français et anglais),2018,18830
Langue connue,Bilingue (français et anglais),2019,22045
Langue connue,Bilingue (français et anglais),2020,15505
Langue connue,Bilingue (français et anglais),2021,28490
Langue connue,Bilingue (français et anglais),2022,27455
Langue connue,Anglais,2018,17080
Langue connue,Anglais,2019,24630
Langue connue,Anglais,2020,19905
Langue connue,Anglais,2021,22460
Langue connue,Anglais,2022,20695
Langue connue,Aucune (ni français ni anglais),2018,440
Langue connue,Aucune (ni français ni anglais),2019,605
Langue connue,Aucune (ni français ni anglais),2020,275
Langue connue,Aucune (ni français ni anglais),2021,665
Langue connue,Aucune (ni français ni anglais),2022,1015
Langue connue,Non précisée,2018,1800
Langue connue,Non précisée,2019,2295
Langue connue,Non précisée,2020,970
Langue connue,Non précisée,2021,1265
Langue connue,Non précisée,2022,1150
Principaux pays de naissance (ordre de 2022),France,2018,9920
Principaux pays de naissance (ordre de 2022),France,2019,10475
Principaux pays de naissance (ordre de 2022),France,2020,5870
Principaux pays de naissance (ordre de 2022),France,2021,13670
Principaux pays de naissance (ordre de 2022),France,2022,10700
Principaux pays de naissance (ordre de 2022),Inde,2018,5615
Principaux pays de naissance (ordre de 2022),Inde,2019,12700
Principaux pays de naissance (ordre de 2022),Inde,2020,12190
Principaux pays de naissance (ordre de 2022),Inde,2021,10085
Principaux pays de naissance (ordre de 2022),Inde,2022,8075
Principaux pays de naissance (ordre de 2022),Algérie,2018,1345
Principaux pays de naissance (ordre de 2022),Algérie,2019,2500
Principaux pays de naissance (ordre de 2022),Algérie,2020,1885
Principaux pays de naissance (ordre de 2022),Algérie,2021,2660
Principaux pays de naissance (ordre de 2022),Algérie,2022,4315
Principaux pays de naissance (ordre de 2022),Chine,2018,5895
Principaux pays de naissance (ordre de 2022),Chine,2019,5960
Principaux pays de naissance (ordre de 2022),Chine,2020,4165
Principaux pays de naissance (ordre de 2022),Chine,2021,4430
Principaux pays de naissance (ordre de 2022),Chine,2022,3505
Principaux pays de naissance (ordre de 2022),Maroc,2018,1645
Principaux pays de naissance (ordre de 2022),Maroc,2019,2420
Principaux pays de naissance (ordre de 2022),Maroc,2020,1900
Principaux pays de naissance (ordre de 2022),Maroc,2021,2995
Principaux pays de naissance (ordre de 2022),Maroc,2022,3165
Principaux pays de naissance (ordre de 2022),Iran,2018,1530
Principaux pays de naissance (ordre de 2022),Iran,2019,2060
Principaux pays de naissance (ordre de 2022),Iran,2020,1520
Principaux pays de naissance (ordre de 2022),Iran,2021,2710
Principaux pays de naissance (ordre de 2022),Iran,2022,2545
Principaux pays de naissance (ordre de 2022),Colombie,2018,700
Principaux pays de naissance (ordre de 2022),Colombie,2019,1135
Principaux pays de naissance (ordre de 2022),Colombie,2020,785
