categorie;detail;n_4e_trimestre_2021;%_4e_trimestre_2021;n_Annee_2021;%_Annee_2021;n_Annee_2020;%_Annee_2020;variation_points_de_pourcentage
Continent et région de naissance Amérique ;  Amérique du Nord;477;3;1 150;2.3;595;2.4;-0.1
Continent et région de naissance Amérique ;  Amérique centrale;426;2.7;1 217;2.4;565;2.2;0.2
Continent et région de naissance Amérique ;  Amérique du Sud;1 210;7.6;3 751;7.5;1 242;4.9;2.5
Continent et région de naissance Amérique ;  Antilles;1 490;9.3;3 487;6.9;1 172;4.6;2.3
Continent et région de naissance Asie;  Moyen-Orient;770;4.8;2 551;5.1;2 294;9.1;-4
Continent et région de naissance Asie;  Asie occidentale et centrale;682;4.3;2 527;5;1 019;4;1
Continent et région de naissance Asie;  Asie orientale;1 260;7.9;3 686;7.3;1 807;7.2;0.2
Continent et région de naissance Asie;  Asie méridionale;854;5.3;2 392;4.8;1 631;6.5;-1.7
Continent et région de naissance Asie;  Asie du Sud-Est;442;2.8;1 306;2.6;1 015;4;-1.4
Continent et région de naissance Europe;  Europe occidentale et septentrionale;2 515;15.7;10 512;20.9;3 378;13.4;7.5
Continent et région de naissance Europe;  Europe orientale;208;1.3;772;1.5;500;2;-0.4
Continent et région de naissance Europe;  Europe méridionale;132;0.8;550;1.1;280;1.1;0
Continent et région de naissance Océanie et autres lieux;Océanie et autres lieux;55;0.3;189;0.4;87;0.3;0
